StationName,City,State,PM2.5,PM10,SO2,NO2,O3,CO,AQI
"Pusa, Delhi - DPCC",Delhi,Delhi,100.72301710730943,206.94923794712284,14.56567651632969,60.979564541212994,25.77479004665632,1.5766407465007777,218.47433903576982
"R K Puram, Delhi - DPCC",Delhi,Delhi,118.78699120602995,242.33596105527667,20.30646984924626,62.93994346733658,55.029108040201024,1.8339070351758822,247.32097989949747
"Rabindra Bharati University, Kolkata - WBPCB",Kolkata,West Bengal,89.23214022140216,171.91651291512898,12.623985239852404,48.16409594095947,34.69577490774909,0.5034686346863467,182.7380073800738
"Rabindra Sarobar, Kolkata - WBPCB",Kolkata,West Bengal,46.19325259515568,93.28979238754319,9.236228373702417,32.57034602076126,30.80626297577853,0.6371972318339102,108.13148788927336
"Railway Colony, Guwahati - APCB",Guwahati,Assam,61.48777327935223,113.40625506072868,14.574331983805681,13.533805668016207,25.096437246963593,0.7320040485829952,139.86032388663966
"Rajbansi Nagar, Patna - BSPCB",Patna,Bihar,62.95765765765765,131.70693693693696,10.573063063063069,66.86036036036035,17.379729729729732,1.163783783783784,162.45945945945945
"Rohini, Delhi - DPCC",Delhi,Delhi,120.6865144230769,245.68715144230794,12.396935096153832,31.89048076923077,31.806045673076937,1.2819951923076933,250.66706730769232
"SIDCO Kurichi, Coimbatore - TNPCB",Coimbatore,Tamil Nadu,29.30122388059701,38.7857313432836,8.773014925373138,27.652537313432827,28.675283582089563,0.9536119402985076,73.2865671641791
"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,39.020163522012574,77.8346415094341,14.186226415094355,22.55496855345916,38.588616352201235,0.6189308176100615,97.7559748427673
"Sector-25, Chandigarh - CPCC",Chandigarh,Chandigarh,40.557102473498254,84.42151943462902,10.146572438162547,12.06042402826855,19.6360070671378,0.6249116607773849,95.28975265017668
"Sector-51, Gurugram - HSPCB",Gurugram,Haryana,54.75601694915253,133.2827118644068,11.28220338983051,15.59322033898305,80.82559322033896,0.6705932203389833,154.03389830508473
"Shastri Nagar, Jaipur - RSPCB",Jaipur,Rajasthan,55.390093457944,120.64718587746624,12.752118380062308,27.524735202492224,53.0123676012462,0.8185773624091371,131.51817237798545
"Sikulpuikawn, Aizawl - Mizoram PCB",Aizawl,Mizoram,18.089009900990114,24.643267326732683,7.130693069306937,0.3862376237623763,3.709900990099012,0.28653465346534657,36.23762376237624
"Silk Board, Bengaluru - KSPCB",Bengaluru,Karnataka,32.40871491875923,84.39880354505173,4.753633677991138,30.420664697193498,36.20748892171345,0.998833087149187,95.03692762186115
"Sion, Mumbai - MPCB",Mumbai,Maharashtra,41.61806818181822,113.29832386363637,13.116619318181824,42.25798295454544,24.492528409090916,0.5164204545454546,119.55397727272727
"Sirifort, Delhi - CPCB",Delhi,Delhi,102.38622535211275,257.6392676056339,9.408760563380282,48.98602816901407,49.646281690140825,1.681394366197183,261.2267605633803
"Sonia Vihar, Delhi - DPCC",Delhi,Delhi,107.95970074812966,217.66723192019978,10.50168329177057,32.59548628428928,45.267443890274336,1.348017456359101,231.6795511221945
"Sri Aurobindo Marg, Delhi - DPCC",Delhi,Delhi,85.40822714681434,152.81551246537404,9.148324099722995,30.773268698060946,46.273891966758974,1.0786288088642655,197.72991689750694
"T T Nagar, Bhopal - MPPCB",Bhopal,Madhya Pradesh,50.20723021582734,119.71575539568339,13.060431654676268,31.373561151079144,59.82420863309351,0.8807194244604326,132.8273381294964
"Talcher Coalfields,Talcher - OSPCB",Talcher,Odisha,64.59075046904319,169.06041275797378,30.699999999999985,12.430412757973729,15.39369606003752,1.7592120075046882,176.0656660412758
"Tata Stadium, Jorapokhar - JSPCB",Jorapokhar,Jharkhand,51.535038759689904,111.92767441860467,24.25620155038759,10.232635658914733,36.027286821705445,1.0279844961240312,142.57364341085272
"Teri Gram, Gurugram - HSPCB",Gurugram,Haryana,59.58494382022474,111.8534831460674,11.244606741573033,4.4870786516854,52.006741573033736,0.6739325842696631,123.33707865168539
"Vasai West, Mumbai - MPCB",Mumbai,Maharashtra,39.41467661691542,82.37656716417912,9.383681592039808,17.64119402985074,16.181592039800996,0.6072139303482587,105.49253731343283
"Victoria, Kolkata - WBPCB",Kolkata,West Bengal,60.33748280605231,105.50782668500692,7.598707015130681,47.370453920220065,32.78193947730398,1.2394635488308112,139.0082530949106
"Vile Parle West, Mumbai - MPCB",Mumbai,Maharashtra,39.271114754098384,90.44495081967216,8.454557377049182,25.734032786885237,22.29744262295082,0.6436393442622954,101.72459016393442
"Vivek Vihar, Delhi - DPCC",Delhi,Delhi,103.36158463385361,221.25384153661454,18.03951980792317,32.56997599039614,40.02343337334932,1.4512124849939967,230.15846338535414
"Vyttila, Kochi - Kerala PCB",Kochi,Kerala,31.6992105263158,66.96697368421049,17.449078947368417,14.461118421052632,3.857039473684214,1.3127631578947354,103.05263157894737
"Wazirpur, Delhi - DPCC",Delhi,Delhi,129.3261163895488,279.1283372921617,17.28460807600952,50.79435866983373,26.96870546318292,1.5107244655581953,274.18052256532064
"Worli, Mumbai - MPCB",Mumbai,Maharashtra,36.298378378378395,81.64254054054058,5.907567567567565,18.892648648648635,32.075486486486454,0.41013513513513544,97.07567567567567
"Zoo Park, Hyderabad - TSPCB",Hyderabad,Telangana,50.61679047619042,99.49339999999994,4.875628571428572,37.87580952380955,36.858399999999996,0.8022571428571427,107.39142857142858
